                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.0215,                 2.4726,                 1.2853,                  1.266,                 0.7265,                0.59582,                0.65761,                0.42823,                0.65831,                0.59346,                0.58637,                0.30449,                 1.1931,                 3.2616,                 1.3683,                 1.5439,              0.0019505,              0.0019505,              0.0019505
                     12,                0.99811,                 2.4728,                 1.2715,                 1.2535,                0.74908,                0.59986,                0.71492,                0.45335,                0.73147,                 0.6028,                0.66394,                0.36091,                 1.1593,                  2.802,                 1.3223,                 1.5277,              0.0019456,              0.0019456,              0.0019456
                     13,                0.97762,                 2.3476,                  1.232,                 1.2431,                0.67674,                0.67757,                0.71475,                0.45773,                0.65341,                0.65421,                0.65436,                0.35607,                  1.084,                 2.7271,                 1.2776,                 1.4686,              0.0019406,              0.0019406,              0.0019406
                     14,                0.92209,                 2.2019,                 1.1435,                 1.2287,                0.72497,                0.66355,                0.70541,                0.45231,                   0.71,                0.65212,                0.65967,                0.34994,                 1.1217,                 2.6386,                 1.2349,                 1.4645,              0.0019357,              0.0019357,              0.0019357
                     15,                0.92959,                 2.2429,                 1.1617,                 1.2291,                0.70264,                0.67354,                0.71243,                0.46592,                0.69803,                0.65888,                0.66274,                0.37246,                 1.0574,                 2.5615,                 1.2594,                 1.4085,              0.0019307,              0.0019307,              0.0019307
                     16,                0.95258,                 2.2806,                 1.1751,                 1.2246,                0.69883,                0.67757,                0.71276,                0.43887,                 0.8009,                0.57477,                0.66253,                 0.3741,                  1.202,                 2.5968,                 1.2103,                 1.5326,              0.0019258,              0.0019258,              0.0019258
                     17,                 0.9664,                 2.2241,                   1.18,                 1.2283,                0.71832,                0.62617,                0.69264,                0.43875,                0.68616,                0.59813,                0.63663,                0.35986,                 1.1292,                 2.7269,                 1.3458,                  1.425,              0.0019208,              0.0019208,              0.0019208
                     18,                0.93833,                 2.1989,                 1.1311,                 1.2087,                0.80317,                0.61018,                0.73863,                0.46689,                0.76142,                0.59813,                0.68905,                0.42104,                 1.1488,                 2.5628,                 1.2446,                 1.4707,              0.0019159,              0.0019159,              0.0019159
                     19,                 0.9107,                 2.1665,                 1.1037,                 1.2061,                 0.7616,                0.71028,                 0.7597,                0.50439,                 0.7328,                0.68224,                0.70267,                0.43739,                 1.1217,                 2.3733,                 1.1269,                 1.4699,              0.0019109,              0.0019109,              0.0019109
                     20,                0.93531,                 2.2256,                 1.1058,                 1.2084,                 0.7734,                0.63084,                0.73509,                0.46865,                 0.7439,                 0.6028,                0.67488,                0.39288,                 1.1566,                 2.7403,                 1.2455,                 1.5853,               0.001906,               0.001906,               0.001906
                     21,                0.89151,                 2.1149,                 1.0666,                  1.163,                0.75156,                 0.6729,                0.76662,                0.50802,                0.70981,                0.63551,                   0.67,                0.36942,                 1.0831,                 2.7884,                 1.0649,                 1.3833,               0.001901,               0.001901,               0.001901
                     22,                0.85309,                 2.0485,                 1.0612,                 1.1515,                0.76474,                0.69874,                0.77071,                0.54147,                0.74392,                0.67757,                0.70688,                0.43383,                0.98788,                 2.6097,                  1.143,                 1.3232,              0.0018961,              0.0018961,              0.0018961
                     23,                0.84137,                 1.9565,                0.98495,                 1.1633,                0.78271,                0.69015,                0.74152,                0.50526,                0.77227,                 0.6729,                0.69707,                0.45426,                 1.0467,                 2.4449,                 1.1239,                 1.3964,              0.0018911,              0.0018911,              0.0018911
                     24,                0.86842,                 2.0155,                 1.0041,                 1.1592,                0.83104,                0.71253,                 0.7878,                0.53078,                0.81857,                0.69159,                0.73727,                0.47299,                  1.057,                 2.3262,                 1.0366,                 1.4065,              0.0018862,              0.0018862,              0.0018862
                     25,                 0.8728,                 1.9779,                0.99359,                 1.1735,                 0.7791,                0.65924,                0.74585,                0.52103,                0.78119,                0.65421,                 0.7113,                0.46192,                  1.021,                 2.3403,                 1.0847,                 1.3889,              0.0018812,              0.0018812,              0.0018812
                     26,                0.85266,                 1.9046,                0.95543,                 1.1657,                0.78014,                0.67985,                0.74916,                0.51377,                0.78676,                0.66822,                0.70838,                0.44775,                 1.0837,                 2.3764,                 1.0732,                 1.4725,              0.0018763,              0.0018763,              0.0018763
                     27,                0.82027,                 1.9928,                0.95675,                 1.1537,                0.77113,                0.71495,                0.77996,                0.50244,                 0.7492,                0.68399,                0.69209,                0.43387,                 1.0723,                 2.1828,                 1.0844,                 1.4025,              0.0018713,              0.0018713,              0.0018713
                     28,                0.83303,                 1.8596,                0.99574,                 1.1463,                0.86932,                0.62171,                 0.7639,                0.53426,                 0.8311,                0.62083,                0.71526,                0.47381,                 1.0059,                  2.283,                 1.0349,                 1.3936,              0.0018663,              0.0018663,              0.0018663
                     29,                0.86124,                 1.9631,                0.98491,                 1.1704,                 0.7566,                0.73832,                0.77722,                0.52863,                0.80261,                0.70305,                0.74774,                0.47307,                 1.0109,                 2.2416,                 1.0786,                 1.3962,              0.0018614,              0.0018614,              0.0018614
                     30,                0.84139,                  1.947,                0.99889,                 1.1584,                0.78592,                0.76636,                0.79887,                0.55309,                0.76675,                0.74766,                0.74652,                0.49847,                0.99575,                 2.0922,                 1.0085,                 1.3389,              0.0018564,              0.0018564,              0.0018564
                     31,                0.83113,                 1.8707,                0.93649,                  1.158,                 0.7557,                0.69384,                0.74168,                0.52364,                0.74398,                 0.6729,                0.71051,                0.46553,                 1.0998,                 2.4792,                  1.044,                 1.4656,              0.0018515,              0.0018515,              0.0018515
                     32,                0.79841,                 1.9475,                0.93016,                 1.1173,                0.85996,                0.67757,                0.80419,                0.58406,                 0.8582,                 0.6729,                0.75574,                0.52323,                0.93853,                 2.0807,                 0.9713,                 1.2783,              0.0018465,              0.0018465,              0.0018465
                     33,                0.79937,                 1.8361,                0.90892,                 1.1366,                0.90863,                0.60412,                 0.7652,                0.52849,                0.78438,                0.64486,                0.72769,                0.47665,                  1.081,                 2.1459,                 1.0313,                  1.377,              0.0018416,              0.0018416,              0.0018416
                     34,                 0.7981,                 1.7699,                 0.8889,                 1.1238,                0.78224,                0.74299,                 0.7833,                0.55224,                0.76826,                0.72897,                0.72536,                 0.4917,                 1.0113,                 2.0001,                 0.9578,                 1.3275,              0.0018367,              0.0018367,              0.0018367
                     35,                0.83366,                 1.8389,                0.92283,                 1.1433,                0.82659,                0.66824,                0.77939,                0.53041,                0.77659,                0.69159,                0.73727,                0.47122,                 0.9992,                 2.1666,                 1.0279,                 1.3247,              0.0018317,              0.0018317,              0.0018317
                     36,                0.79533,                 1.7632,                 0.8795,                 1.1255,                0.81281,                0.70093,                0.77519,                0.49144,                0.76043,                0.65421,                0.70822,                0.46625,                 1.1214,                 2.1952,                  1.092,                 1.4454,              0.0018267,              0.0018267,              0.0018267
                     37,                0.84125,                  1.876,                0.88408,                 1.1568,                0.82203,                0.66355,                 0.7575,                0.54638,                 0.8152,                0.64019,                 0.7104,                0.49973,                0.96487,                 1.9205,                0.97518,                 1.3271,              0.0018218,              0.0018218,              0.0018218
                     38,                0.81158,                 1.7462,                0.93157,                 1.1319,                0.81557,                0.70258,                0.79085,                0.56877,                0.78834,                 0.6729,                0.72949,                0.50554,                0.93207,                    2.1,                0.96706,                 1.2651,              0.0018168,              0.0018168,              0.0018168
                     39,                0.83231,                 1.9261,                 0.9367,                 1.1511,                0.85367,                0.73605,                0.83357,                0.59203,                0.84489,                0.71271,                0.76666,                0.53316,                0.93166,                 2.0946,                0.91817,                 1.2978,              0.0018119,              0.0018119,              0.0018119
                     40,                0.78974,                 1.7611,                0.91094,                 1.1282,                0.80115,                0.73422,                0.81101,                0.58771,                0.77981,                0.71161,                0.76006,                0.53212,                0.91078,                 2.0465,                0.96233,                 1.2602,              0.0018069,              0.0018069,              0.0018069
                     41,                0.78865,                 1.6863,                0.88971,                 1.1077,                0.75941,                0.70561,                0.76071,                0.53951,                0.76758,                0.68692,                0.70713,                0.48915,                0.97619,                 2.0473,                0.94535,                 1.2913,               0.001802,               0.001802,               0.001802
                     42,                0.77158,                 1.6788,                0.85085,                 1.1019,                0.78187,                 0.7243,                0.77884,                0.56655,                0.76674,                0.71028,                0.72746,                0.51391,                0.93108,                 1.9781,                0.95381,                 1.2579,              0.0017971,              0.0017971,              0.0017971
                     43,                0.78503,                 1.6911,                0.85253,                 1.1197,                0.78461,                 0.7243,                 0.7843,                0.54614,                0.78124,                 0.6729,                0.72542,                0.49167,                 0.9814,                 2.2858,                0.95286,                 1.3348,              0.0017921,              0.0017921,              0.0017921
                     44,                0.79308,                 1.8753,                0.90704,                 1.1173,                0.82554,                0.75701,                0.80401,                0.56209,                0.80039,                0.73077,                0.74986,                0.51063,                0.92611,                 2.1085,                0.95059,                 1.2603,              0.0017872,              0.0017872,              0.0017872
                     45,                0.74674,                 1.6482,                0.82203,                 1.1024,                 0.8242,                0.74485,                 0.8341,                0.60035,                0.75135,                0.71495,                0.76401,                0.52839,                0.91681,                 2.1014,                 0.8459,                 1.2626,              0.0017822,              0.0017822,              0.0017822
                     46,                0.78762,                 1.7139,                 0.8045,                 1.1143,                0.82661,                0.73364,                0.80781,                0.57793,                0.81094,                0.72155,                 0.7719,                0.51608,                0.96742,                 2.1176,                0.91068,                 1.3161,              0.0017772,              0.0017772,              0.0017772
                     47,                0.76472,                 1.6683,                0.82571,                 1.0951,                0.79699,                0.78505,                0.82252,                0.58804,                 0.7776,                0.76636,                  0.775,                0.52087,                0.93973,                 1.9888,                0.92173,                 1.2706,              0.0017723,              0.0017723,              0.0017723
                     48,                 0.7379,                 1.6802,                0.77715,                 1.0997,                0.85249,                0.72918,                0.80885,                0.57341,                0.84999,                0.71495,                0.78244,                0.50208,                0.98656,                 2.3272,                 0.8966,                 1.3445,              0.0017674,              0.0017674,              0.0017674
                     49,                 0.7709,                 1.7294,                0.82375,                 1.1304,                 0.7942,                0.75234,                 0.7814,                0.56154,                 0.7887,                0.73255,                0.74518,                0.50564,                0.95624,                 2.1177,                  0.904,                 1.3156,              0.0017624,              0.0017624,              0.0017624
                     50,                0.73077,                 1.6389,                0.76946,                 1.0886,                0.84148,                  0.769,                0.80734,                0.57154,                0.81856,                0.72897,                0.74943,                0.52647,                0.93329,                 1.8758,                0.89594,                 1.2764,              0.0017575,              0.0017575,              0.0017575
                     51,                0.76661,                 1.6016,                0.80457,                 1.0917,                0.80442,                0.73364,                0.80528,                0.55973,                 0.7731,                0.70561,                0.73007,                0.49743,                0.98109,                 2.1122,                0.89141,                 1.3293,              0.0017525,              0.0017525,              0.0017525
                     52,                0.77821,                 1.7479,                0.83679,                  1.116,                0.83075,                0.74766,                0.80882,                0.57313,                0.83617,                0.70561,                0.77475,                0.51528,                0.95492,                 2.0312,                 0.8706,                 1.2809,              0.0017476,              0.0017476,              0.0017476
                     53,                0.71606,                 1.5689,                0.77368,                 1.0739,                0.84873,                0.73832,                0.81182,                0.61056,                0.86701,                0.69626,                0.78841,                0.55287,                0.88718,                 1.8705,                 0.8551,                 1.2267,              0.0017426,              0.0017426,              0.0017426
                     54,                0.73627,                 1.6125,                0.80385,                 1.0706,                0.80783,                0.76609,                0.80464,                0.57786,                 0.7937,                0.72897,                0.76917,                0.55236,                0.95518,                 1.8168,                0.89861,                 1.2695,              0.0017376,              0.0017376,              0.0017376
                     55,                0.74755,                 1.6623,                0.78995,                  1.088,                0.78741,                0.72693,                0.79591,                0.57503,                0.82143,                0.68787,                0.74917,                0.52327,                  0.916,                 1.9214,                0.90551,                 1.2767,              0.0017327,              0.0017327,              0.0017327
                     56,                0.71615,                 1.5914,                0.78187,                 1.0681,                0.74948,                 0.7757,                0.80279,                0.56591,                0.78604,                0.69159,                 0.7459,                0.49917,                0.94214,                  2.009,                0.84654,                 1.3033,              0.0017278,              0.0017278,              0.0017278
                     57,                0.75821,                 1.6706,                0.84501,                 1.1166,                0.85056,                0.66491,                0.78701,                0.55016,                0.80871,                 0.6322,                0.70718,                0.50353,                0.95428,                 1.9481,                0.89436,                  1.336,              0.0017228,              0.0017228,              0.0017228
                     58,                0.72664,                 1.5685,                0.79835,                 1.0897,                0.80999,                0.75701,                0.82995,                0.60713,                0.84113,                0.70093,                0.78284,                0.53122,                 0.9189,                 2.2081,                0.85513,                 1.2552,              0.0017179,              0.0017179,              0.0017179
                     59,                0.72736,                  1.531,                 0.7681,                 1.0828,                0.79683,                0.76972,                0.80776,                0.57941,                0.79179,                0.76414,                0.78248,                0.53121,                0.98135,                 2.0481,                0.91385,                 1.2886,              0.0017129,              0.0017129,              0.0017129
                     60,                0.72764,                 1.5471,                 0.7622,                 1.0845,                0.81058,                0.74766,                0.81443,                0.58025,                0.84754,                0.70093,                 0.8041,                0.54135,                0.93514,                 1.8187,                0.86055,                 1.2831,               0.001708,               0.001708,               0.001708
                     61,                0.69118,                 1.4285,                0.73131,                 1.0583,                 0.8141,                0.74766,                0.80675,                0.59795,                0.86206,                0.68224,                0.76995,                0.53723,                 0.8384,                 1.8499,                0.85605,                 1.1792,               0.001703,               0.001703,               0.001703
                     62,                0.72222,                  1.574,                0.74724,                 1.0791,                 0.8215,                0.79574,                0.82994,                0.61432,                0.80204,                0.77625,                0.79302,                0.55558,                0.88659,                 1.9925,                0.81959,                 1.2093,               0.001698,               0.001698,               0.001698
                     63,                0.69621,                 1.5613,                0.73308,                 1.0653,                0.86987,                 0.7243,                0.83941,                0.59207,                0.84539,                0.71963,                0.80181,                0.54988,                 0.8954,                  1.778,                0.84165,                 1.2504,              0.0016931,              0.0016931,              0.0016931
                     64,                0.68141,                 1.4874,                0.72244,                 1.0616,                0.85503,                0.74415,                0.81911,                0.62362,                0.82906,                0.74299,                0.78584,                0.57356,                0.88413,                 1.7532,                0.80829,                 1.2436,              0.0016882,              0.0016882,              0.0016882
                     65,                0.69754,                 1.5405,                0.72886,                 1.0801,                0.81532,                0.74265,                 0.8189,                0.59481,                0.79252,                0.69612,                0.75756,                0.56631,                0.89515,                 1.8976,                0.83319,                 1.2582,              0.0016832,              0.0016832,              0.0016832
                     66,                0.70655,                 1.5357,                  0.713,                 1.0803,                0.75684,                0.78541,                0.82257,                0.59844,                0.80439,                0.71495,                 0.7768,                0.53869,                0.91011,                 1.8331,                0.82257,                 1.2461,              0.0016783,              0.0016783,              0.0016783
                     67,                0.69466,                 1.5206,                0.74656,                 1.0702,                0.88862,                0.72897,                0.81098,                0.58201,                0.85796,                0.70564,                0.75993,                0.55115,                0.94283,                 1.7781,                 0.8445,                 1.2908,              0.0016733,              0.0016733,              0.0016733
                     68,                0.69754,                 1.5424,                0.76642,                 1.0709,                0.71942,                0.81776,                0.82597,                 0.5973,                0.77162,                0.71495,                0.77017,                 0.5329,                0.92128,                 1.8905,                0.87527,                 1.2553,              0.0016684,              0.0016684,              0.0016684
                     69,                0.70876,                 1.5973,                0.74498,                 1.0696,                0.74526,                0.81308,                0.81748,                 0.5716,                0.77922,                0.69626,                0.76294,                0.54777,                0.99165,                 1.8268,                0.85715,                 1.3124,              0.0016634,              0.0016634,              0.0016634
                     70,                0.70661,                  1.598,                0.73824,                 1.0798,                0.85115,                0.72145,                0.80097,                0.57585,                0.82352,                0.69626,                0.74792,                0.53089,                 0.9399,                 1.8547,                0.85279,                 1.3053,              0.0016585,              0.0016585,              0.0016585
                     71,                0.68294,                 1.4914,                0.70325,                 1.0569,                 0.8914,                0.69037,                0.80425,                0.58444,                0.84981,                0.67757,                0.76263,                0.51928,                0.90146,                 2.0994,                  0.859,                 1.2749,              0.0016535,              0.0016535,              0.0016535
                     72,                0.71247,                 1.5359,                0.72594,                 1.0661,                 0.8387,                0.72893,                0.81508,                0.58637,                0.83636,                0.71649,                0.78394,                0.55872,                0.95144,                 1.8287,                0.82687,                 1.2977,              0.0016485,              0.0016485,              0.0016485
                     73,                0.70844,                 1.5496,                0.72433,                 1.0619,                0.83794,                0.79733,                0.85075,                0.62093,                0.82562,                0.80841,                0.82955,                0.57532,                0.84372,                 1.7718,                0.78916,                 1.2069,              0.0016436,              0.0016436,              0.0016436
                     74,                0.70301,                 1.4893,                0.71506,                  1.065,                0.76216,                0.78505,                0.80645,                0.59713,                0.79313,                0.73455,                0.76004,                0.55348,                0.90504,                 1.7351,                0.82549,                 1.2532,              0.0016386,              0.0016386,              0.0016386
                     75,                0.68459,                 1.4286,                0.70157,                 1.0728,                0.80453,                0.78505,                0.82994,                0.59901,                0.77264,                0.75234,                0.77961,                0.56748,                0.90137,                 1.7666,                0.81844,                 1.2686,              0.0016337,              0.0016337,              0.0016337
                     76,                0.67165,                 1.4525,                0.72162,                 1.0481,                0.85763,                0.73188,                0.82459,                0.58685,                0.86197,                0.69626,                0.78658,                0.55971,                0.94989,                 1.7933,                0.83069,                 1.2909,              0.0016287,              0.0016287,              0.0016287
                     77,                0.67821,                  1.505,                0.70837,                  1.044,                0.85471,                0.74766,                0.82903,                0.61416,                0.83716,                0.73364,                0.77609,                0.55763,                 0.8476,                 1.8018,                0.79367,                 1.1961,              0.0016238,              0.0016238,              0.0016238
                     78,                0.64455,                 1.3729,                0.66998,                 1.0374,                0.86386,                0.77103,                0.86326,                 0.6332,                0.84008,                0.73644,                0.80178,                0.57554,                0.84739,                 1.7205,                0.79129,                 1.1935,              0.0016189,              0.0016189,              0.0016189
                     79,                0.65304,                  1.403,                0.69992,                 1.0478,                0.80421,                0.80374,                0.84303,                0.63934,                0.88515,                0.71963,                0.81686,                0.59678,                  0.839,                 1.7398,                0.73326,                 1.1958,              0.0016139,              0.0016139,              0.0016139
                     80,                0.62426,                  1.366,                0.63755,                  1.021,                0.85703,                0.75629,                0.82881,                0.58852,                0.87519,                0.72085,                0.79886,                0.56459,                0.90112,                 1.8043,                0.83183,                 1.2399,              0.0016089,              0.0016089,              0.0016089
                     81,                0.69107,                 1.4667,                0.67851,                 1.0535,                0.87379,                0.72897,                0.82864,                0.60253,                0.85971,                0.70561,                0.78605,                0.57059,                0.88602,                 1.6535,                0.80018,                 1.1974,               0.001604,               0.001604,               0.001604
                     82,                0.67521,                 1.4093,                0.70066,                 1.0599,                0.81756,                0.81669,                 0.8383,                 0.6258,                0.79434,                0.79416,                0.79744,                0.59032,                0.86703,                  1.743,                0.77363,                 1.2148,              0.0015991,              0.0015991,              0.0015991
                     83,                0.64914,                 1.3256,                0.64809,                 1.0315,                0.83959,                0.78505,                0.82874,                 0.6284,                0.81433,                0.74766,                0.79693,                0.59029,                0.83407,                  1.672,                0.76619,                 1.1766,              0.0015941,              0.0015941,              0.0015941
                     84,                0.63422,                 1.3511,                 0.6662,                 1.0282,                0.81655,                 0.7488,                0.82175,                0.62724,                0.83302,                0.71963,                0.76852,                0.54769,                0.80609,                 1.8217,                0.77312,                 1.1806,              0.0015892,              0.0015892,              0.0015892
                     85,                0.68152,                 1.4896,                0.68403,                 1.0611,                0.79111,                 0.7243,                0.80843,                0.60647,                0.77385,                0.70561,                0.77205,                0.55748,                0.83978,                 1.7427,                0.84174,                 1.1952,              0.0015842,              0.0015842,              0.0015842
                     86,                0.64198,                 1.3877,                0.66566,                 1.0245,                0.87083,                0.73832,                0.83449,                0.61155,                 0.8596,                0.72897,                0.79764,                0.56356,                0.87853,                 1.8943,                0.78232,                 1.2347,              0.0015793,              0.0015793,              0.0015793
                     87,                0.68786,                 1.5395,                0.69909,                  1.061,                0.84389,                0.75701,                0.84616,                0.61329,                0.86765,                0.67757,                0.78903,                 0.5665,                0.88635,                 1.8532,                0.79549,                 1.2465,              0.0015743,              0.0015743,              0.0015743
                     88,                0.65526,                 1.4301,                0.66135,                 1.0365,                 0.8474,                0.72657,                0.81881,                0.60646,                0.85303,                0.67805,                0.76902,                0.55768,                0.89397,                 2.0102,                0.80872,                 1.2758,              0.0015693,              0.0015693,              0.0015693
                     89,                0.64579,                  1.398,                0.63731,                 1.0335,                0.83889,                0.75234,                0.81636,                0.60671,                0.83507,                0.74766,                0.79073,                0.56353,                0.87454,                 1.9845,                0.79336,                 1.2282,              0.0015644,              0.0015644,              0.0015644
                     90,                  0.663,                 1.3699,                0.65707,                 1.0605,                0.80902,                0.77201,                 0.8273,                0.60694,                0.79784,                0.76168,                0.78998,                0.58426,                0.87283,                 1.7149,                0.76226,                 1.2405,              0.0015594,              0.0015594,              0.0015594
                     91,                 0.6313,                 1.3188,                0.63351,                 1.0392,                0.79529,                0.81695,                 0.8526,                0.64832,                0.82653,                0.74299,                 0.8106,                0.59574,                0.81356,                 1.6214,                0.72721,                 1.1863,              0.0015545,              0.0015545,              0.0015545
                     92,                0.66779,                 1.4239,                0.64955,                 1.0383,                0.87211,                 0.7243,                0.82131,                0.60151,                0.84635,                0.69499,                0.77791,                0.54957,                0.87359,                 1.6596,                0.77482,                 1.2511,              0.0015496,              0.0015496,              0.0015496
                     93,                0.62385,                  1.324,                0.63479,                 1.0087,                 0.8576,                0.74766,                 0.8337,                0.62271,                 0.8489,                0.70886,                0.78247,                0.57497,                0.88304,                  1.811,                0.76209,                 1.3068,              0.0015446,              0.0015446,              0.0015446
