                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96344,                 5.1119,                 2.1388,                  1.275,                0.47521,                0.44393,                0.42576,                0.24177,                0.19043,                0.24299,                0.09551,                0.03051,                  1.231,                 4.8468,                 2.1237,                 1.5245,             0.00065844,             0.00065844,             0.00065844
                      2,                 1.0856,                 3.3172,                 1.8433,                 1.3143,                0.51598,                 0.3785,                0.39733,                0.22731,                0.50784,                0.38785,                0.37848,                0.17346,                  1.308,                  3.658,                 1.9934,                 1.7652,              0.0013218,              0.0013218,              0.0013218
                      3,                 1.1367,                 3.2199,                 1.7789,                 1.3589,                0.49747,                0.51869,                0.48095,                0.22753,                0.42576,                0.44393,                0.33656,                0.12921,                 1.5476,                 4.3613,                 2.4684,                 1.8881,              0.0019819,              0.0019819,              0.0019819
                      4,                 1.1772,                 3.1615,                 1.7851,                 1.3545,                0.38685,                0.53363,                0.39779,                0.20951,                0.39817,                0.44393,                0.36317,                0.17201,                 1.4536,                 3.4235,                 1.9884,                 1.8931,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.1253,                 2.8623,                 1.6025,                 1.3366,                0.56014,                0.57477,                0.54925,                0.29934,                0.56249,                0.49866,                0.47121,                0.20718,                  1.284,                 3.3902,                 1.8037,                 1.6353,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.1172,                  2.914,                 1.5871,                 1.3313,                0.53486,                0.51402,                0.48663,                0.27964,                0.54944,                0.52804,                0.48258,                 0.2095,                 1.3748,                 3.1779,                 2.4864,                 1.6749,              0.0019753,              0.0019753,              0.0019753
                      7,                 1.0893,                 2.8614,                 1.4868,                 1.3305,                0.59694,                0.57944,                0.54093,                0.30797,                0.52766,                0.56075,                0.48606,                0.22365,                 1.2215,                 3.1484,                 1.8387,                   1.55,              0.0019703,              0.0019703,              0.0019703
                      8,                 1.0175,                 2.6751,                 1.3929,                 1.2618,                0.60527,                0.68692,                0.66414,                0.39748,                0.58895,                0.66284,                0.62159,                  0.308,                  1.281,                 2.9224,                 1.5892,                 1.7292,              0.0019654,              0.0019654,              0.0019654
                      9,                 1.0892,                 2.6406,                  1.469,                 1.3096,                0.68073,                0.64019,                0.67271,                0.40683,                 0.6532,                 0.6028,                0.56693,                0.29611,                  1.287,                 3.3359,                 1.3772,                 1.6321,              0.0019604,              0.0019604,              0.0019604
                     10,                0.99041,                 2.5629,                 1.3212,                 1.2491,                0.63176,                0.64486,                0.65639,                0.38013,                0.59903,                0.59339,                0.56128,                0.28347,                 1.1989,                 3.1553,                 1.8384,                 1.5265,              0.0019555,              0.0019555,              0.0019555
