                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.81756,                 1.9038,                0.92587,                 1.1281,                0.80362,                0.70753,                0.75995,                0.51165,                0.78376,                0.68224,                0.70672,                0.44489,                0.97017,                 2.2673,                 1.0306,                 1.2902,              0.0017723,              0.0017723,              0.0017723
                     25,                0.84214,                 1.8773,                0.96562,                 1.1554,                0.77544,                0.71963,                0.76998,                0.51898,                0.75024,                 0.7243,                0.72911,                0.45986,                 1.0634,                 2.1917,                 1.0661,                 1.3782,              0.0017624,              0.0017624,              0.0017624
                     26,                0.79739,                 1.8844,                0.93928,                 1.1322,                0.78053,                0.65888,                0.74311,                0.50091,                0.79289,                0.59037,                0.67731,                0.43017,                 1.0771,                 2.4795,                 1.1271,                 1.4503,              0.0017525,              0.0017525,              0.0017525
                     27,                0.80349,                 1.8907,                0.92985,                 1.1431,                0.73027,                0.81776,                0.79871,                0.56262,                 0.7824,                0.69626,                0.72967,                0.44992,                 1.0028,                  2.306,                0.99067,                 1.3405,              0.0017426,              0.0017426,              0.0017426
                     28,                0.80789,                 1.7721,                0.96658,                 1.1411,                0.78357,                0.71056,                 0.7672,                0.53412,                0.76327,                0.69307,                0.72303,                0.47012,                 0.9699,                  2.408,                 1.0149,                 1.3053,              0.0017327,              0.0017327,              0.0017327
                     29,                0.81201,                 1.8176,                0.94938,                 1.1345,                0.78124,                0.75097,                0.80784,                0.56647,                0.80914,                0.70561,                0.77049,                0.49128,                0.99615,                 2.2069,                 1.0165,                 1.3314,              0.0017228,              0.0017228,              0.0017228
                     30,                0.80285,                  1.818,                0.91968,                 1.1354,                0.73923,                0.73364,                0.77138,                0.53194,                0.71699,                0.69848,                0.70183,                0.46053,                 1.0482,                 2.5394,                 1.0472,                 1.4851,              0.0017129,              0.0017129,              0.0017129
                     31,                0.76195,                 1.6939,                0.87208,                 1.1123,                0.80247,                0.70239,                0.77967,                0.54013,                0.78125,                0.68426,                0.73169,                  0.484,                  1.071,                 2.2455,                 1.0231,                 1.4417,               0.001703,               0.001703,               0.001703
                     32,                0.77807,                  1.744,                0.87252,                 1.0979,                0.80058,                0.75234,                0.79174,                0.54929,                0.75539,                0.71028,                0.73212,                0.49993,                 1.0076,                  2.325,                0.98329,                 1.3636,              0.0016931,              0.0016931,              0.0016931
                     33,                0.72638,                 1.6065,                0.82568,                 1.0948,                0.76842,                0.74766,                0.81153,                0.57964,                0.74676,                0.71653,                0.76649,                0.51603,                  0.927,                 2.3135,                0.88874,                  1.272,              0.0016832,              0.0016832,              0.0016832
                     34,                0.73515,                 1.5934,                0.83799,                 1.0885,                0.77915,                0.79907,                0.81881,                0.57317,                0.74381,                0.76636,                0.76411,                 0.4938,                0.94187,                 2.1579,                0.96719,                  1.305,              0.0016733,              0.0016733,              0.0016733
                     35,                0.76961,                 1.6843,                0.86847,                 1.1061,                0.80634,                0.71028,                 0.7887,                0.52734,                0.77018,                 0.6729,                 0.7125,                0.47016,                 1.0175,                 2.1878,                 1.0108,                 1.3747,              0.0016634,              0.0016634,              0.0016634
                     36,                0.75896,                 1.6392,                0.84233,                 1.1124,                0.81823,                0.71963,                0.78345,                0.51713,                 0.7706,                0.67757,                0.70542,                0.46318,                 1.0705,                 2.2537,                 1.0579,                 1.4572,              0.0016535,              0.0016535,              0.0016535
                     37,                0.77156,                 1.6718,                0.81958,                 1.1138,                0.82565,                0.70812,                0.78186,                0.54718,                0.84603,                0.69325,                0.75591,                0.49834,                0.98025,                 2.2786,                0.96394,                 1.3277,              0.0016436,              0.0016436,              0.0016436
                     38,                0.77612,                 1.6302,                0.87295,                 1.1201,                 0.7513,                0.75234,                0.76308,                0.55228,                0.74756,                0.74766,                0.73846,                0.49346,                0.90952,                 2.1297,                0.97777,                 1.2669,              0.0016337,              0.0016337,              0.0016337
                     39,                 0.7696,                 1.7771,                0.85793,                 1.1161,                0.76337,                0.79907,                0.81203,                0.58754,                0.78593,                0.70093,                0.75247,                0.49124,                0.90422,                 2.1898,                0.88799,                 1.2758,              0.0016238,              0.0016238,              0.0016238
                     40,                0.73889,                 1.6611,                0.84183,                 1.1001,                0.84086,                0.71605,                0.80473,                0.59577,                0.82989,                0.70671,                0.76991,                0.54509,                0.89596,                  2.136,                0.86884,                 1.2299,              0.0016139,              0.0016139,              0.0016139
                     41,                0.72364,                 1.5237,                0.81898,                 1.0756,                0.77223,                0.73832,                0.78203,                0.56243,                0.74643,                0.71495,                0.74809,                0.51167,                0.91549,                 2.2233,                0.96026,                 1.3058,               0.001604,               0.001604,               0.001604
                     42,                0.71897,                 1.5494,                0.78028,                 1.0812,                0.80921,                0.71349,                0.78183,                0.54842,                0.78378,                0.68692,                0.72972,                0.49788,                0.96037,                 2.1053,                 1.0073,                 1.3544,              0.0015941,              0.0015941,              0.0015941
                     43,                0.75275,                 1.6283,                0.82256,                 1.1119,                0.82813,                0.65421,                   0.74,                0.52478,                0.76919,                0.63848,                0.69338,                0.47932,                0.94412,                 2.0781,                 1.1839,                  1.358,              0.0015842,              0.0015842,              0.0015842
                     44,                0.72451,                 1.6799,                0.81954,                 1.0742,                0.82015,                0.70093,                 0.8159,                0.59423,                0.82015,                0.70093,                0.78412,                0.54149,                0.84006,                 1.9122,                0.89532,                 1.1988,              0.0015743,              0.0015743,              0.0015743
                     45,                0.69551,                 1.4828,                0.77009,                 1.0752,                0.81123,                0.74299,                0.82215,                0.59687,                0.77907,                0.71028,                0.75039,                0.54239,                0.96087,                 2.3506,                0.88155,                 1.3367,              0.0015644,              0.0015644,              0.0015644
                     46,                 0.7244,                 1.5857,                0.76231,                 1.0695,                0.85617,                0.72897,                0.80469,                0.59235,                0.86927,                0.73364,                0.77691,                0.53714,                0.90869,                 1.9232,                0.87175,                 1.2596,              0.0015545,              0.0015545,              0.0015545
                     47,                0.68909,                  1.536,                0.74483,                 1.0541,                0.82201,                0.75234,                0.81739,                0.59676,                0.78627,                0.71963,                0.75971,                0.53138,                0.94223,                 2.1495,                0.89519,                 1.2883,              0.0015446,              0.0015446,              0.0015446
                     48,                0.67413,                 1.4866,                0.70327,                 1.0688,                0.89171,                0.74299,                0.84381,                0.59633,                0.84644,                0.70561,                0.76949,                0.52796,                0.91527,                 2.1472,                0.83297,                 1.2668,              0.0015347,              0.0015347,              0.0015347
                     49,                0.69911,                 1.5621,                 0.7394,                 1.0834,                0.88648,                0.75234,                0.82261,                0.59926,                 0.8676,                0.74299,                0.77708,                0.51449,                0.84591,                 2.1739,                 0.8437,                 1.2188,              0.0015248,              0.0015248,              0.0015248
                     50,                0.68314,                 1.5244,                0.71637,                 1.0605,                0.81554,                0.74378,                0.79213,                0.58718,                0.79523,                0.72589,                0.75767,                0.52351,                0.82381,                 1.9953,                0.91591,                 1.1715,              0.0015149,              0.0015149,              0.0015149
                     51,                0.69151,                 1.4848,                0.74652,                 1.0488,                0.81272,                0.73005,                0.81705,                0.60898,                0.80102,                0.70093,                0.76099,                0.54266,                0.87681,                 1.8833,                0.84386,                 1.2361,               0.001505,               0.001505,               0.001505
                     52,                0.68372,                 1.5369,                0.73082,                 1.0689,                0.82684,                0.74299,                0.80847,                0.61261,                0.83573,                0.68692,                0.75567,                0.54393,                0.83321,                 2.1185,                0.81071,                 1.2295,              0.0014951,              0.0014951,              0.0014951
                     53,                0.64537,                 1.3607,                0.69692,                 1.0358,                0.84858,                0.73832,                0.81757,                0.61317,                 0.8395,                0.72897,                0.78819,                0.55466,                0.81903,                 1.8372,                0.79845,                 1.1903,              0.0014852,              0.0014852,              0.0014852
                     54,                0.63498,                 1.3592,                0.68986,                 1.0312,                0.85913,                0.74099,                0.82206,                0.61282,                0.83437,                0.71963,                0.78539,                 0.5519,                0.91852,                 2.0544,                0.91707,                 1.2844,              0.0014753,              0.0014753,              0.0014753
                     55,                0.65858,                 1.3934,                0.66533,                 1.0472,                0.83554,                0.77103,                0.82676,                0.61716,                0.83627,                0.76375,                0.79722,                 0.5657,                0.93224,                 1.8078,                0.79565,                 1.3018,              0.0014654,              0.0014654,              0.0014654
                     56,                0.65019,                 1.4225,                 0.7014,                 1.0362,                0.78009,                0.79907,                0.80971,                0.59205,                0.76937,                0.73265,                0.75129,                0.51731,                0.92514,                 2.0895,                0.86786,                   1.33,              0.0014555,              0.0014555,              0.0014555
                     57,                0.68627,                 1.4677,                0.73723,                 1.0753,                0.90533,                0.75234,                0.86387,                0.63025,                0.86576,                 0.7243,                0.81876,                0.61274,                  0.878,                 1.6031,                0.84001,                 1.2331,              0.0014456,              0.0014456,              0.0014456
                     58,                0.67407,                 1.3954,                0.71838,                 1.0644,                0.83308,                0.72298,                0.81704,                0.59142,                 0.7893,                0.71495,                0.77248,                0.56729,                0.97806,                 1.8017,                0.90574,                 1.3216,              0.0014357,              0.0014357,              0.0014357
                     59,                0.65571,                 1.3189,                0.68599,                 1.0453,                0.85494,                0.72897,                0.81448,                0.59976,                0.84385,                0.73233,                0.78523,                0.56606,                0.93279,                 1.9062,                0.93314,                  1.281,              0.0014258,              0.0014258,              0.0014258
                     60,                 0.6682,                 1.4026,                0.70237,                 1.0537,                0.82309,                0.76168,                0.81358,                0.58935,                0.81265,                0.75234,                 0.7924,                0.54889,                0.85392,                  1.829,                0.83048,                 1.2131,              0.0014159,              0.0014159,              0.0014159
                     61,                0.66182,                 1.3069,                0.68751,                 1.0365,                0.82385,                0.74306,                0.81476,                0.59155,                0.82008,                0.70287,                 0.7622,                0.54244,                0.89556,                 2.0236,                0.87036,                 1.2535,               0.001406,               0.001406,               0.001406
                     62,                0.65446,                  1.476,                0.70492,                 1.0491,                0.84387,                0.78299,                0.82036,                0.59751,                0.81056,                0.75234,                0.77224,                0.55083,                0.90109,                 2.3966,                0.84451,                 1.2425,              0.0013961,              0.0013961,              0.0013961
                     63,                0.62888,                 1.3505,                0.66373,                 1.0226,                0.82513,                0.75701,                0.83729,                0.63993,                0.85455,                0.68637,                0.78988,                0.58005,                0.84151,                 2.0621,                0.84781,                 1.2037,              0.0013862,              0.0013862,              0.0013862
                     64,                0.63892,                 1.3497,                0.65826,                 1.0422,                0.85085,                0.76636,                0.85092,                0.65927,                0.84415,                0.73403,                0.81466,                0.60193,                0.81578,                 1.8986,                0.79068,                 1.1953,              0.0013763,              0.0013763,              0.0013763
                     65,                0.64073,                 1.3656,                0.66692,                 1.0406,                0.89745,                0.73607,                0.84903,                0.62404,                0.84182,                 0.7243,                0.79729,                0.57608,                0.85468,                 2.1255,                0.80181,                 1.2593,              0.0013664,              0.0013664,              0.0013664
                     66,                 0.6352,                 1.3751,                0.65665,                 1.0388,                0.87102,                0.75234,                0.85458,                0.63983,                0.86593,                0.72897,                0.82019,                0.59199,                0.85264,                 1.8032,                0.72599,                 1.2322,              0.0013565,              0.0013565,              0.0013565
                     67,                0.63863,                 1.3251,                0.69711,                  1.043,                0.87962,                 0.7757,                0.84737,                0.62322,                0.86564,                0.73364,                0.79218,                0.56422,                0.88889,                 2.2179,                0.82697,                 1.2679,              0.0013466,              0.0013466,              0.0013466
                     68,                0.64145,                 1.4205,                0.68374,                 1.0432,                0.84892,                0.76168,                0.85895,                0.63393,                0.86433,                0.72897,                0.80956,                0.59165,                0.84162,                 1.7678,                 0.7689,                  1.209,              0.0013367,              0.0013367,              0.0013367
                     69,                0.64245,                 1.4461,                0.68436,                 1.0345,                0.82178,                0.77568,                0.83852,                  0.607,                0.84938,                0.73787,                0.80057,                0.57625,                0.89353,                 1.8175,                0.81604,                 1.2489,              0.0013268,              0.0013268,              0.0013268
                     70,                0.67199,                 1.4162,                0.70443,                 1.0602,                0.85433,                0.71253,                0.83626,                0.63493,                0.84291,                0.70209,                0.79697,                0.57284,                0.80541,                 1.9127,                0.77651,                 1.1759,              0.0013169,              0.0013169,              0.0013169
                     71,                0.60228,                 1.3383,                0.65457,                  1.019,                0.82527,                0.76636,                0.82271,                0.60295,                0.80848,                0.74766,                0.78995,                0.57221,                0.90474,                 1.8898,                0.84539,                 1.2602,               0.001307,               0.001307,               0.001307
                     72,                0.64888,                 1.4014,                0.68488,                 1.0278,                0.86732,                0.75234,                 0.8585,                0.63037,                0.85872,                0.73847,                0.82007,                0.59018,                0.84013,                 1.8098,                0.77422,                 1.2148,              0.0012971,              0.0012971,              0.0012971
                     73,                0.64317,                 1.3813,                0.65359,                 1.0303,                0.88366,                0.78082,                0.85257,                0.66022,                0.84388,                0.76168,                0.82476,                0.58331,                0.76829,                 1.9605,                0.76291,                 1.1414,              0.0012872,              0.0012872,              0.0012872
                     74,                0.60924,                 1.3445,                0.65725,                 1.0099,                0.87131,                0.75932,                0.82814,                0.62256,                0.86226,                0.74766,                0.79266,                0.56347,                0.82329,                 1.9721,                0.85374,                 1.1914,              0.0012773,              0.0012773,              0.0012773
                     75,                0.59953,                 1.3117,                0.62913,                 1.0291,                0.88688,                0.76636,                0.85873,                0.65064,                 0.8706,                0.75457,                0.81239,                0.60072,                0.81583,                 1.7985,                 0.7192,                 1.2077,              0.0012674,              0.0012674,              0.0012674
                     76,                0.64356,                 1.2833,                0.64607,                 1.0387,                0.89253,                0.73364,                0.84275,                0.62684,                0.87114,                0.71495,                0.80476,                0.59095,                0.89056,                 1.7909,                0.82574,                  1.273,              0.0012575,              0.0012575,              0.0012575
                     77,                0.61533,                 1.3545,                0.63843,                 1.0117,                0.84981,                0.76636,                0.84176,                0.62859,                0.83991,                0.75701,                0.80385,                0.57845,                0.85987,                 1.7554,                 0.8129,                 1.2051,              0.0012476,              0.0012476,              0.0012476
