                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92942,                 5.1928,                 2.0875,                 1.2406,                0.56848,                0.52336,                0.51445,                0.27186,                0.24089,                0.18692,                0.09806,                 0.0225,                 1.2822,                 4.8628,                  1.984,                 1.5781,             0.00065844,             0.00065844,             0.00065844
                      2,                0.97549,                 3.1811,                 1.6867,                 1.2333,                0.59794,                0.53738,                0.54598,                0.33221,                0.56315,                 0.4486,                0.45932,                0.22853,                 1.2076,                 4.0117,                 1.9077,                 1.6583,              0.0010627,              0.0010627,              0.0010627
                      3,                  0.927,                 2.9424,                 1.5071,                 1.2115,                0.75657,                0.62451,                0.70225,                 0.4471,                0.68039,                0.56542,                0.58628,                 0.2888,                  1.137,                 3.6017,                 1.6839,                 1.6961,               0.001203,               0.001203,               0.001203
                      4,                0.93272,                 2.8817,                 1.4657,                 1.1925,                0.66617,                0.62476,                0.68329,                0.37657,                0.59624,                0.59813,                0.58559,                0.26522,                 1.1996,                 3.1857,                 1.7505,                 1.7093,               0.000812,               0.000812,               0.000812
                      5,                0.85943,                 2.5854,                 1.3321,                 1.1451,                0.75133,                 0.6215,                0.72943,                0.49439,                0.69483,                0.57477,                0.61546,                0.33555,                0.90763,                 2.9481,                 1.3879,                 1.2844,               0.000416,               0.000416,               0.000416
